timestamp(ms),Livello Fumo,
"1775735390.357","567",
"1775735390.457","560",
"1775735390.557","570",
"1775735390.657","566",
"1775735390.757","564",
"1775735390.857","564",
"1775735390.957","565",
"1775735391.058","566",
"1775735391.157","560",
"1775735391.257","564",
"1775735391.357","566",
"1775735391.457","568",
"1775735391.557","564",
"1775735391.657","564",
"1775735391.758","567",
"1775735391.857","565",
"1775735391.957","564",
"1775735392.058","565",
"1775735392.157","565",
"1775735392.257","566",
"1775735392.357","564",
"1775735392.457","565",
"1775735392.558","563",
"1775735392.657","562",
"1775735392.758","563",
"1775735392.857","564",
"1775735392.957","560",
"1775735393.057","564",
"1775735393.157","566",
"1775735393.257","559",
"1775735393.357","563",
"1775735393.458","559",
"1775735393.557","565",
"1775735393.657","559",
"1775735393.757","564",
"1775735393.857","565",
"1775735393.957","559",
"1775735394.057","564",
"1775735394.157","565",
"1775735394.258","564",
"1775735394.357","563",
"1775735394.457","560",
"1775735394.558","564",
"1775735394.657","564",
"1775735394.757","563",
"1775735394.857","560",
"1775735394.958","562",
"1775735395.058","564",
"1775735395.157","563",
"1775735395.257","562",
"1775735395.357","559",
"1775735395.457","559",
"1775735395.557","558",
"1775735395.657","560",
"1775735395.757","560",
"1775735395.857","557",
"1775735395.957","559",
"1775735396.058","557",
"1775735396.157","560",
"1775735396.257","557",
"1775735396.357","564",
"1775735396.457","558",
"1775735396.557","557",
"1775735396.658","559",
"1775735396.757","559",
"1775735396.857","560",
"1775735396.957","556",
"1775735397.057","558",
"1775735397.157","558",
"1775735397.257","557",
"1775735397.357","558",
"1775735397.457","557",
"1775735397.557","557",
"1775735397.657","557",
"1775735397.757","557",
"1775735397.857","559",
"1775735397.957","558",
"1775735398.058","558",
"1775735398.157","555",
"1775735398.258","557",
"1775735398.357","553",
"1775735398.457","557",
"1775735398.558","557",
"1775735398.657","557",
"1775735398.757","562",
"1775735398.857","557",
"1775735398.957","556",
"1775735399.057","564",
"1775735399.157","559",
"1775735399.257","556",
"1775735399.357","556",
"1775735399.457","556",
"1775735399.558","550",
"1775735399.657","556",
"1775735399.757","554",
"1775735399.857","555",
"1775735399.957","555",
"1775735400.057","556",
"1775735400.157","555",
"1775735400.257","554",
"1775735400.358","552",
"1775735400.457","555",
"1775735400.557","558",
