timestamp(ms),Livello Fumo,
"1775743397.103","2002",
"1775743397.113","2002",
"1775743397.123","2003",
"1775743397.133","2003",
"1775743397.143","2002",
"1775743397.153","2003",
"1775743397.163","2004",
"1775743397.173","2005",
"1775743397.183","2004",
"1775743397.193","2003",
"1775743397.203","1999",
"1775743397.213","2004",
"1775743397.223","2002",
"1775743397.233","2004",
"1775743397.243","2005",
"1775743397.253","2004",
"1775743397.263","2003",
"1775743397.273","2004",
"1775743397.283","2004",
"1775743397.293","2003",
"1775743397.303","2003",
"1775743397.313","2005",
"1775743397.323","2003",
"1775743397.333","2003",
"1775743397.343","2003",
"1775743397.353","2003",
"1775743397.363","2004",
"1775743397.373","2003",
"1775743397.383","2005",
"1775743397.393","2003",
"1775743397.403","2003",
"1775743397.413","2004",
"1775743397.423","2004",
"1775743397.433","2003",
"1775743397.443","2005",
"1775743397.453","2004",
"1775743397.463","2004",
"1775743397.473","2003",
"1775743397.483","2003",
"1775743397.493","2004",
"1775743397.503","2004",
"1775743397.513","2004",
"1775743397.523","2005",
"1775743397.533","2005",
"1775743397.543","2003",
"1775743397.553","2002",
"1775743397.563","2002",
"1775743397.573","2004",
"1775743397.583","2004",
"1775743397.593","2002",
"1775743397.603","2002",
"1775743397.613","2005",
"1775743397.623","2004",
"1775743397.633","2004",
"1775743397.643","2003",
"1775743397.653","2003",
"1775743397.663","2005",
"1775743397.673","2005",
"1775743397.683","2004",
"1775743397.693","2005",
"1775743397.703","2004",
"1775743397.713","2004",
"1775743397.723","2002",
"1775743397.733","2002",
"1775743397.743","2004",
"1775743397.753","2004",
"1775743397.763","2003",
"1775743397.773","2004",
"1775743397.783","2003",
"1775743397.793","2003",
"1775743397.803","1998",
"1775743397.813","2005",
"1775743397.823","2004",
"1775743397.833","2003",
"1775743397.843","2003",
"1775743397.853","2005",
"1775743397.863","1998",
"1775743397.873","2004",
"1775743397.883","2004",
"1775743397.893","2002",
"1775743397.903","2005",
"1775743397.913","2004",
"1775743397.923","2005",
"1775743397.933","2003",
"1775743397.943","2004",
"1775743397.953","2005",
"1775743397.963","2003",
"1775743397.973","2003",
"1775743397.983","2004",
"1775743397.993","2002",
"1775743398.003","2004",
"1775743398.013","2003",
"1775743398.023","2003",
"1775743398.033","2003",
"1775743398.043","2003",
"1775743398.053","2003",
"1775743398.063","2003",
"1775743398.073","2005",
"1775743398.083","2003",
"1775743398.093","2003",
"1775743398.103","2003",
"1775743398.113","2004",
"1775743398.123","2005",
"1775743398.133","2004",
"1775743398.143","2005",
"1775743398.153","2005",
"1775743398.163","2005",
"1775743398.173","2004",
"1775743398.183","2003",
"1775743398.193","2003",
"1775743398.203","2004",
"1775743398.213","2004",
"1775743398.223","2005",
"1775743398.233","2003",
"1775743398.243","2003",
"1775743398.253","2005",
"1775743398.263","2003",
"1775743398.273","2004",
"1775743398.283","2003",
"1775743398.293","2003",
"1775743398.303","2004",
"1775743398.313","2003",
"1775743398.323","2003",
"1775743398.333","2005",
"1775743398.343","1998",
"1775743398.353","2002",
"1775743398.363","2003",
"1775743398.373","2003",
"1775743398.383","2004",
"1775743398.393","2002",
"1775743398.403","2003",
"1775743398.413","2005",
"1775743398.423","2002",
"1775743398.433","2002",
"1775743398.443","2004",
"1775743398.453","2002",
"1775743398.463","2002",
"1775743398.473","2003",
"1775743398.483","2003",
"1775743398.493","2004",
"1775743398.503","2005",
"1775743398.513","2003",
"1775743398.523","2005",
"1775743398.533","2003",
"1775743398.543","2004",
"1775743398.553","2004",
"1775743398.563","2005",
"1775743398.573","2005",
"1775743398.583","2005",
"1775743398.593","2004",
"1775743398.603","2004",
"1775743398.613","2003",
"1775743398.623","2004",
"1775743398.633","2004",
"1775743398.643","2004",
"1775743398.653","2004",
"1775743398.663","2003",
"1775743398.673","2005",
"1775743398.683","2004",
"1775743398.693","2004",
"1775743398.703","2005",
"1775743398.713","2004",
"1775743398.723","2005",
"1775743398.733","2003",
"1775743398.743","2004",
"1775743398.753","2004",
"1775743398.763","2006",
"1775743398.773","2002",
"1775743398.783","2003",
"1775743398.793","2004",
"1775743398.803","2003",
"1775743398.813","2002",
"1775743398.823","2003",
"1775743398.833","2004",
"1775743398.843","2003",
"1775743398.853","2003",
"1775743398.863","2004",
"1775743398.873","2004",
"1775743398.883","2003",
"1775743398.893","2003",
"1775743398.903","2004",
"1775743398.913","2003",
"1775743398.923","2004",
"1775743398.933","2004",
"1775743398.943","2004",
"1775743398.953","2002",
"1775743398.963","2003",
"1775743398.973","2004",
"1775743398.983","2004",
"1775743398.993","2005",
"1775743399.003","2004",
"1775743399.013","2003",
"1775743399.023","2003",
"1775743399.033","1998",
"1775743399.043","2005",
"1775743399.053","1999",
"1775743399.063","2004",
"1775743399.073","2006",
"1775743399.083","2003",
"1775743399.093","2003",
"1775743399.103","2003",
"1775743399.113","2003",
"1775743399.123","2004",
"1775743399.133","2003",
"1775743399.143","2004",
"1775743399.153","2004",
"1775743399.163","2003",
"1775743399.173","2004",
"1775743399.183","2003",
"1775743399.193","2005",
"1775743399.203","2004",
"1775743399.213","2004",
"1775743399.223","2002",
"1775743399.233","1996",
"1775743399.243","2003",
"1775743399.253","2001",
"1775743399.263","2002",
"1775743399.273","2004",
"1775743399.283","2003",
"1775743399.293","2004",
"1775743399.303","2003",
"1775743399.313","2002",
"1775743399.323","2005",
"1775743399.333","2003",
"1775743399.343","2004",
"1775743399.353","2003",
"1775743399.363","2003",
"1775743399.373","2005",
"1775743399.383","2003",
"1775743399.393","2003",
"1775743399.403","2002",
"1775743399.413","2005",
"1775743399.423","2002",
"1775743399.433","2004",
"1775743399.443","2003",
"1775743399.453","2003",
"1775743399.463","2003",
"1775743399.473","2004",
"1775743399.483","2003",
"1775743399.493","1999",
"1775743399.503","2004",
"1775743399.513","2002",
"1775743399.523","2002",
"1775743399.533","2002",
"1775743399.543","2004",
"1775743399.553","2002",
"1775743399.563","2003",
"1775743399.573","2002",
"1775743399.583","2005",
"1775743399.593","2004",
"1775743399.603","2003",
"1775743399.613","2003",
"1775743399.623","2001",
"1775743399.633","2003",
"1775743399.643","2003",
"1775743399.653","2003",
"1775743399.663","2003",
"1775743399.673","2003",
"1775743399.683","2002",
"1775743399.693","2003",
"1775743399.703","2002",
"1775743399.713","2004",
"1775743399.723","2003",
"1775743399.733","1999",
"1775743399.743","2002",
"1775743399.753","2003",
"1775743399.763","2003",
"1775743399.773","2002",
"1775743399.783","2002",
"1775743399.793","2003",
"1775743399.803","2002",
"1775743399.813","2003",
"1775743399.823","2003",
"1775743399.833","2003",
"1775743399.843","2003",
"1775743399.853","2002",
"1775743399.863","2005",
"1775743399.873","2004",
"1775743399.883","2004",
"1775743399.893","2004",
"1775743399.903","2003",
"1775743399.913","2002",
"1775743399.923","2002",
"1775743399.933","2004",
"1775743399.943","2003",
"1775743399.953","2003",
"1775743399.963","2002",
"1775743399.973","2004",
"1775743399.983","2002",
"1775743399.993","2005",
"1775743400.003","2003",
"1775743400.013","2002",
"1775743400.023","2003",
"1775743400.033","2004",
"1775743400.043","2003",
"1775743400.053","2003",
"1775743400.063","2004",
"1775743400.073","2004",
"1775743400.083","2002",
"1775743400.093","2003",
"1775743400.103","2003",
"1775743400.113","2003",
"1775743400.123","1999",
"1775743400.133","2003",
"1775743400.143","2003",
"1775743400.153","2002",
"1775743400.163","2005",
"1775743400.173","2004",
"1775743400.183","2003",
"1775743400.193","2003",
"1775743400.203","2004",
"1775743400.213","2003",
"1775743400.223","2003",
"1775743400.233","2004",
"1775743400.243","1997",
"1775743400.253","2002",
"1775743400.263","1999",
"1775743400.273","2004",
"1775743400.283","2007",
"1775743400.293","2003",
"1775743400.303","2001",
"1775743400.313","2003",
"1775743400.323","2002",
"1775743400.333","2003",
"1775743400.343","2004",
"1775743400.353","2003",
"1775743400.363","2003",
"1775743400.373","2003",
"1775743400.383","2004",
"1775743400.393","2004",
"1775743400.403","2002",
"1775743400.413","2002",
"1775743400.423","2004",
"1775743400.433","2003",
"1775743400.443","2002",
"1775743400.453","2003",
"1775743400.463","1999",
"1775743400.473","2002",
"1775743400.483","2003",
"1775743400.493","1999",
"1775743400.503","2002",
"1775743400.513","2003",
"1775743400.523","1998",
"1775743400.533","2002",
"1775743400.543","2003",
"1775743400.553","2002",
"1775743400.563","2002",
"1775743400.573","1998",
"1775743400.583","2001",
"1775743400.593","2004",
"1775743400.603","2002",
"1775743400.613","2003",
"1775743400.623","2003",
"1775743400.633","1999",
"1775743400.643","1999",
"1775743400.653","2003",
"1775743400.663","2004",
"1775743400.673","2001",
"1775743400.683","2004",
"1775743400.693","2003",
"1775743400.703","1999",
"1775743400.713","2003",
"1775743400.723","2003",
"1775743400.733","2003",
"1775743400.743","2003",
"1775743400.753","2004",
"1775743400.763","1999",
"1775743400.773","2002",
"1775743400.783","2003",
"1775743400.793","2003",
"1775743400.803","2002",
"1775743400.813","2003",
"1775743400.823","2001",
"1775743400.833","2004",
"1775743400.843","2003",
"1775743400.853","2005",
"1775743400.863","2002",
"1775743400.873","2003",
"1775743400.883","2004",
"1775743400.893","2004",
"1775743400.903","2003",
"1775743400.913","2003",
"1775743400.923","2003",
"1775743400.933","2003",
"1775743400.943","2002",
"1775743400.953","2003",
"1775743400.963","2004",
"1775743400.973","2003",
"1775743400.983","2003",
"1775743400.993","2003",
"1775743401.003","2003",
"1775743401.013","2003",
"1775743401.023","2002",
"1775743401.033","2003",
"1775743401.043","2002",
"1775743401.053","2004",
"1775743401.063","2002",
"1775743401.073","2002",
"1775743401.083","2003",
"1775743401.093","2003",
"1775743401.103","2003",
"1775743401.113","2003",
"1775743401.123","2003",
"1775743401.133","2005",
"1775743401.143","2004",
"1775743401.153","2002",
"1775743401.163","2003",
"1775743401.173","2002",
"1775743401.183","2005",
"1775743401.193","2003",
"1775743401.203","2002",
"1775743401.213","2003",
"1775743401.223","2005",
"1775743401.233","2004",
"1775743401.243","2002",
"1775743401.253","2003",
"1775743401.263","2003",
"1775743401.273","2005",
"1775743401.283","2003",
"1775743401.293","2001",
"1775743401.303","2002",
"1775743401.313","2003",
"1775743401.323","2003",
"1775743401.333","2003",
"1775743401.343","2003",
"1775743401.353","2003",
"1775743401.363","2001",
"1775743401.373","2004",
"1775743401.383","2003",
"1775743401.393","2003",
"1775743401.403","2003",
"1775743401.413","2004",
"1775743401.423","2004",
"1775743401.433","2004",
"1775743401.443","2003",
"1775743401.453","1999",
"1775743401.463","2004",
"1775743401.473","2003",
"1775743401.483","2004",
"1775743401.493","2002",
"1775743401.503","2002",
"1775743401.513","1999",
"1775743401.523","2003",
"1775743401.533","1994",
"1775743401.543","2001",
"1775743401.553","1999",
"1775743401.563","2001",
"1775743401.573","2003",
"1775743401.583","2002",
"1775743401.593","1999",
"1775743401.603","2002",
"1775743401.613","2005",
"1775743401.623","2003",
"1775743401.633","2003",
"1775743401.643","2003",
"1775743401.653","1999",
"1775743401.663","2003",
"1775743401.673","2004",
"1775743401.683","2004",
"1775743401.693","2003",
"1775743401.703","2003",
"1775743401.713","2002",
"1775743401.723","2003",
"1775743401.733","1999",
"1775743401.743","2003",
"1775743401.753","2002",
"1775743401.763","2002",
"1775743401.773","2003",
"1775743401.783","2003",
