Timestamp(ms),Sensor,Temp(C),Humidity(%),Pressure(hPa),Gas(Ohm/Analog)
525031,MQ2,0.00,0.00,0.00,1331.00
528031,MQ2,0.00,0.00,0.00,1328.00
531031,MQ2,0.00,0.00,0.00,1328.00
534031,MQ2,0.00,0.00,0.00,1324.00
537031,MQ2,0.00,0.00,0.00,1316.00
540031,MQ2,0.00,0.00,0.00,1309.00
543031,MQ2,0.00,0.00,0.00,1298.00
546031,MQ2,0.00,0.00,0.00,1297.00
549031,MQ2,0.00,0.00,0.00,1287.00
552031,MQ2,0.00,0.00,0.00,1292.00
555031,MQ2,0.00,0.00,0.00,1279.00
558031,MQ2,0.00,0.00,0.00,1280.00
561031,MQ2,0.00,0.00,0.00,1325.00
564031,MQ2,0.00,0.00,0.00,1285.00
567031,MQ2,0.00,0.00,0.00,1278.00
570031,MQ2,0.00,0.00,0.00,1271.00
573031,MQ2,0.00,0.00,0.00,1261.00
576031,MQ2,0.00,0.00,0.00,1259.00
579031,MQ2,0.00,0.00,0.00,1246.00
582031,MQ2,0.00,0.00,0.00,1238.00
585031,MQ2,0.00,0.00,0.00,1235.00
588031,MQ2,0.00,0.00,0.00,1232.00
591031,MQ2,0.00,0.00,0.00,1233.00
594031,MQ2,0.00,0.00,0.00,1231.00
597031,MQ2,0.00,0.00,0.00,1251.00
600031,MQ2,0.00,0.00,0.00,1234.00
603031,MQ2,0.00,0.00,0.00,1230.00
606031,MQ2,0.00,0.00,0.00,1215.00
609031,MQ2,0.00,0.00,0.00,1213.00
612031,MQ2,0.00,0.00,0.00,1200.00
615031,MQ2,0.00,0.00,0.00,1193.00
618031,MQ2,0.00,0.00,0.00,1190.00
621031,MQ2,0.00,0.00,0.00,1181.00
624031,MQ2,0.00,0.00,0.00,1177.00
627031,MQ2,0.00,0.00,0.00,1174.00
630031,MQ2,0.00,0.00,0.00,1168.00
633031,MQ2,0.00,0.00,0.00,1169.00
636031,MQ2,0.00,0.00,0.00,1196.00
639031,MQ2,0.00,0.00,0.00,1283.00
642031,MQ2,0.00,0.00,0.00,1231.00
645031,MQ2,0.00,0.00,0.00,1199.00
648031,MQ2,0.00,0.00,0.00,1179.00
651031,MQ2,0.00,0.00,0.00,1170.00
654031,MQ2,0.00,0.00,0.00,1163.00
657031,MQ2,0.00,0.00,0.00,1155.00
660031,MQ2,0.00,0.00,0.00,1151.00
663031,MQ2,0.00,0.00,0.00,1142.00
666031,MQ2,0.00,0.00,0.00,1136.00
669031,MQ2,0.00,0.00,0.00,1134.00
672031,MQ2,0.00,0.00,0.00,1129.00
675031,MQ2,0.00,0.00,0.00,1125.00
678031,MQ2,0.00,0.00,0.00,1121.00
681031,MQ2,0.00,0.00,0.00,1118.00
684031,MQ2,0.00,0.00,0.00,1115.00
687031,MQ2,0.00,0.00,0.00,1108.00
690031,MQ2,0.00,0.00,0.00,1105.00
693031,MQ2,0.00,0.00,0.00,1105.00
696031,MQ2,0.00,0.00,0.00,1106.00
699031,MQ2,0.00,0.00,0.00,1101.00
702031,MQ2,0.00,0.00,0.00,1095.00
705031,MQ2,0.00,0.00,0.00,1095.00
708031,MQ2,0.00,0.00,0.00,1091.00
711031,MQ2,0.00,0.00,0.00,1089.00
714031,MQ2,0.00,0.00,0.00,1088.00
717031,MQ2,0.00,0.00,0.00,1082.00
720031,MQ2,0.00,0.00,0.00,1082.00
723031,MQ2,0.00,0.00,0.00,1078.00
726031,MQ2,0.00,0.00,0.00,1075.00
729031,MQ2,0.00,0.00,0.00,1071.00
732031,MQ2,0.00,0.00,0.00,1067.00
735031,MQ2,0.00,0.00,0.00,1061.00
738031,MQ2,0.00,0.00,0.00,1058.00
741031,MQ2,0.00,0.00,0.00,1053.00
744031,MQ2,0.00,0.00,0.00,1047.00
747031,MQ2,0.00,0.00,0.00,1045.00
750031,MQ2,0.00,0.00,0.00,1040.00
753031,MQ2,0.00,0.00,0.00,1040.00
756031,MQ2,0.00,0.00,0.00,1039.00
759031,MQ2,0.00,0.00,0.00,1034.00
762031,MQ2,0.00,0.00,0.00,1034.00
765031,MQ2,0.00,0.00,0.00,1022.00
768031,MQ2,0.00,0.00,0.00,1023.00
771031,MQ2,0.00,0.00,0.00,1019.00
774031,MQ2,0.00,0.00,0.00,1015.00
777031,MQ2,0.00,0.00,0.00,1018.00
780031,MQ2,0.00,0.00,0.00,1010.00
783031,MQ2,0.00,0.00,0.00,1013.00
786031,MQ2,0.00,0.00,0.00,1007.00
789031,MQ2,0.00,0.00,0.00,1011.00
792031,MQ2,0.00,0.00,0.00,1021.00
795031,MQ2,0.00,0.00,0.00,1023.00
798031,MQ2,0.00,0.00,0.00,1040.00
801031,MQ2,0.00,0.00,0.00,1035.00
804031,MQ2,0.00,0.00,0.00,1023.00
807031,MQ2,0.00,0.00,0.00,1019.00
810031,MQ2,0.00,0.00,0.00,1017.00
813031,MQ2,0.00,0.00,0.00,1015.00
816031,MQ2,0.00,0.00,0.00,1003.00
819031,MQ2,0.00,0.00,0.00,995.00
822031,MQ2,0.00,0.00,0.00,991.00
825031,MQ2,0.00,0.00,0.00,993.00
828031,MQ2,0.00,0.00,0.00,990.00
831031,MQ2,0.00,0.00,0.00,985.00
834031,MQ2,0.00,0.00,0.00,978.00
837031,MQ2,0.00,0.00,0.00,976.00
840031,MQ2,0.00,0.00,0.00,974.00
