Timestamp_Unix,Bus_V,Shunt_mV,Current_mA,Power_mW
1779966986.3820858,Bus Voltage,Shunt Voltage,Current,Power
1779966986.9276989,5.060,4.440,44.300,222.000
1779966986.9308252,5.056,4.430,43.900,222.000
1779966986.9348147,5.056,4.390,44.200,222.000
1779966986.938645,5.052,4.400,43.900,222.000
1779966986.9417899,5.056,4.420,44.300,222.000
1779966986.9458518,5.060,4.420,44.200,222.000
1779966986.9495542,5.056,4.400,44.000,222.000
1779966986.9527707,5.056,4.390,44.000,220.000
1779966986.9568655,5.060,4.400,44.300,222.000
1779966986.959844,5.056,4.440,44.300,222.000
1779966986.963695,5.060,4.410,44.200,222.000
1779966986.9678125,5.060,4.400,44.100,222.000
1779966986.9707744,5.056,4.390,44.100,222.000
1779966986.9748108,5.060,4.410,44.100,222.000
1779966986.978745,5.060,4.420,44.100,226.000
1779966986.9818382,5.060,4.440,44.100,222.000
1779966986.9858582,5.056,4.410,44.100,222.000
1779966986.9896977,5.060,4.400,43.900,222.000
1779966986.9927711,5.056,4.400,44.300,222.000
1779966986.9978344,5.056,4.410,44.300,222.000
1779966987.0005925,5.056,4.420,44.000,222.000
1779966987.0038068,5.056,4.410,44.100,222.000
1779966987.0077682,5.056,4.390,44.200,222.000
1779966987.0117152,5.056,4.430,44.100,226.000
1779966987.0147867,5.056,4.420,44.300,222.000
1779966987.0187945,5.056,4.390,43.500,222.000
1779966987.022581,5.056,4.390,43.900,222.000
1779966987.0257945,5.056,4.440,44.300,222.000
1779966987.0297966,5.060,4.410,43.900,222.000
1779966987.033447,5.052,4.430,44.300,222.000
1779966987.0366867,5.056,4.440,44.000,222.000
1779966987.0407848,5.056,4.420,44.000,222.000
1779966987.0437984,5.056,4.420,44.100,222.000
1779966987.0477238,5.056,4.390,44.100,222.000
1779966987.0518963,5.056,4.430,43.900,222.000
1779966987.054697,5.056,4.400,44.000,222.000
1779966987.058771,5.056,4.400,43.700,220.000
1779966987.0626342,5.060,4.420,44.200,222.000
1779966987.0657413,5.060,4.410,44.100,222.000
1779966987.0698214,5.056,4.380,44.100,222.000
1779966987.0736134,5.060,4.390,43.900,222.000
1779966987.0768,5.056,4.370,44.200,222.000
1779966987.080821,5.060,4.400,44.200,222.000
1779966987.08452,5.056,4.390,43.900,222.000
1779966987.0877852,5.056,4.400,43.900,222.000
1779966987.0917196,5.056,4.370,43.700,220.000
1779966987.0956156,5.056,4.440,44.200,222.000
1779966987.098826,5.060,4.400,44.100,222.000
1779966987.1028116,5.056,4.420,44.000,222.000
1779966987.1065066,5.056,4.420,43.900,222.000
1779966987.109739,5.056,4.380,44.100,222.000
1779966987.1137476,5.060,4.430,44.000,222.000
1779966987.1167216,5.056,4.430,44.100,222.000
1779966987.1208646,5.056,4.380,43.800,222.000
1779966987.1248178,5.060,4.390,43.700,220.000
1779966987.1277683,5.056,4.400,44.200,222.000
1779966987.1317983,5.056,4.390,44.300,222.000
1779966987.1356914,5.056,4.410,44.200,222.000
